Time,Temperature,Precipitation,Wind Speed (km/h),Humidity,Details,Day
22:00,14°,"11%
chance of precipitation",,72%,Partly cloudy and a gentle breeze,8
23:00,14°,"12%
chance of precipitation",,74%,Partly cloudy and a gentle breeze,8
00:00,14°,"12%
chance of precipitation",,74%,Partly cloudy and a gentle breeze,8
01:00,13°,"18%
chance of precipitation",,73%,Partly cloudy and a gentle breeze,8
02:00,13°,"21%
chance of precipitation",,74%,Light cloud and a gentle breeze,8
03:00,13°,"34%
chance of precipitation",,76%,Light rain showers and a gentle breeze,8
04:00,12°,"34%
chance of precipitation",,80%,Light rain showers and a gentle breeze,8
05:00,12°,"34%
chance of precipitation",,83%,Light rain showers and a gentle breeze,8
06:00,12°,"43%
chance of precipitation",,85%,Light rain showers and a gentle breeze,9
07:00,12°,"43%
chance of precipitation",,85%,Light rain showers and a gentle breeze,9
08:00,13°,"49%
chance of precipitation",,78%,Light rain showers and a gentle breeze,9
09:00,14°,"55%
chance of precipitation",,73%,Light rain showers and a gentle breeze,9
10:00,15°,"54%
chance of precipitation",,67%,Light rain showers and a gentle breeze,9
11:00,16°,"51%
chance of precipitation",,62%,Light rain showers and a gentle breeze,9
12:00,17°,"55%
chance of precipitation",,64%,Light rain showers and a gentle breeze,9
13:00,17°,"52%
chance of precipitation",,65%,Light rain showers and a gentle breeze,9
14:00,17°,"48%
chance of precipitation",,68%,Light rain showers and a moderate breeze,9
15:00,17°,"47%
chance of precipitation",,68%,Light rain showers and a moderate breeze,9
16:00,17°,"50%
chance of precipitation",,69%,Light rain showers and a gentle breeze,9
17:00,16°,"53%
chance of precipitation",,71%,Light rain showers and a gentle breeze,9
18:00,16°,"50%
chance of precipitation",,74%,Light rain showers and a gentle breeze,9
19:00,15°,"50%
chance of precipitation",,76%,Light rain showers and a gentle breeze,9
20:00,15°,"51%
chance of precipitation",,78%,Light rain showers and a gentle breeze,9
21:00,15°,"51%
chance of precipitation",,81%,Thundery showers and a gentle breeze,9
22:00,14°,"51%
chance of precipitation",,84%,Thundery showers and a gentle breeze,9
23:00,14°,"49%
chance of precipitation",,84%,Light rain showers and light winds,9
00:00,13°,"45%
chance of precipitation",,86%,Light rain showers and a gentle breeze,9
01:00,13°,"42%
chance of precipitation",,88%,Light rain showers and a gentle breeze,9
02:00,13°,"41%
chance of precipitation",,87%,Light rain showers and a gentle breeze,9
03:00,12°,"20%
chance of precipitation",,91%,Partly cloudy and a gentle breeze,9
04:00,12°,"20%
chance of precipitation",,90%,Partly cloudy and a gentle breeze,9
05:00,12°,"18%
chance of precipitation",,92%,Light cloud and a gentle breeze,9
06:00,11°,"19%
chance of precipitation",,91%,Partly cloudy and a gentle breeze,10
07:00,12°,"16%
chance of precipitation",,89%,Sunny intervals and a gentle breeze,10
08:00,12°,"19%
chance of precipitation",,85%,Sunny intervals and a gentle breeze,10
09:00,14°,"15%
chance of precipitation",,75%,Sunny intervals and a gentle breeze,10
10:00,16°,"15%
chance of precipitation",,66%,Sunny intervals and a gentle breeze,10
11:00,17°,"15%
chance of precipitation",,60%,Sunny intervals and a gentle breeze,10
12:00,17°,"13%
chance of precipitation",,60%,Sunny intervals and a gentle breeze,10
13:00,17°,"16%
chance of precipitation",,61%,Sunny intervals and a gentle breeze,10
14:00,17°,"13%
chance of precipitation",,62%,Light cloud and a gentle breeze,10
15:00,17°,"15%
chance of precipitation",,64%,Sunny intervals and a gentle breeze,10
16:00,17°,"12%
chance of precipitation",,67%,Sunny intervals and a gentle breeze,10
17:00,16°,"12%
chance of precipitation",,70%,Partly cloudy and a gentle breeze,10
18:00,16°,"11%
chance of precipitation",,74%,Partly cloudy and light winds,10
19:00,15°,"13%
chance of precipitation",,77%,Partly cloudy and light winds,10
20:00,15°,"11%
chance of precipitation",,80%,Partly cloudy and light winds,10
21:00,14°,"14%
chance of precipitation",,83%,Partly cloudy and light winds,10
22:00,14°,"12%
chance of precipitation",,86%,Partly cloudy and light winds,10
23:00,13°,"14%
chance of precipitation",,88%,Partly cloudy and light winds,10
00:00,13°,"12%
chance of precipitation",,90%,Partly cloudy and light winds,10
01:00,12°,"10%
chance of precipitation",,92%,Partly cloudy and light winds,10
02:00,12°,"12%
chance of precipitation",,92%,Partly cloudy and light winds,10
03:00,11°,"22%
chance of precipitation",,95%,Partly cloudy and light winds,10
04:00,11°,"21%
chance of precipitation",,94%,Partly cloudy and light winds,10
05:00,11°,"15%
chance of precipitation",,96%,A clear sky and light winds,10
06:00,11°,"10%
chance of precipitation",,94%,A clear sky and light winds,11
07:00,11°,"10%
chance of precipitation",,91%,Sunny and light winds,11
08:00,12°,"10%
chance of precipitation",,86%,Sunny intervals and light winds,11
09:00,14°,"16%
chance of precipitation",,75%,Sunny intervals and light winds,11
10:00,15°,"16%
chance of precipitation",,65%,Sunny intervals and light winds,11
11:00,17°,"16%
chance of precipitation",,59%,Sunny intervals and light winds,11
12:00,17°,"16%
chance of precipitation",,59%,Sunny intervals and light winds,11
13:00,17°,"16%
chance of precipitation",,59%,Sunny intervals and a gentle breeze,11
14:00,17°,"16%
chance of precipitation",,61%,Sunny intervals and a gentle breeze,11
15:00,17°,"18%
chance of precipitation",,62%,Sunny intervals and a gentle breeze,11
16:00,17°,"18%
chance of precipitation",,65%,Sunny intervals and a gentle breeze,11
17:00,16°,"18%
chance of precipitation",,67%,Partly cloudy and light winds,11
18:00,16°,"17%
chance of precipitation",,71%,Partly cloudy and light winds,11
19:00,15°,"17%
chance of precipitation",,74%,Partly cloudy and light winds,11
20:00,15°,"17%
chance of precipitation",,78%,Partly cloudy and light winds,11
21:00,14°,"14%
chance of precipitation",,80%,Partly cloudy and light winds,11
22:00,13°,"14%
chance of precipitation",,83%,Partly cloudy and light winds,11
23:00,13°,"14%
chance of precipitation",,85%,Partly cloudy and light winds,11
00:00,12°,"14%
chance of precipitation",,86%,Partly cloudy and light winds,11
01:00,12°,"15%
chance of precipitation",,87%,Partly cloudy and light winds,11
02:00,12°,"14%
chance of precipitation",,88%,Partly cloudy and light winds,11
03:00,11°,"8%
chance of precipitation",,91%,Partly cloudy and light winds,11
04:00,11°,"8%
chance of precipitation",,91%,Partly cloudy and light winds,11
05:00,11°,"0%
chance of precipitation",,93%,A clear sky and light winds,11
06:00,11°,"21%
chance of precipitation",,91%,A clear sky and light winds,12
07:00,11°,"21%
chance of precipitation",,88%,Sunny and light winds,12
08:00,12°,"21%
chance of precipitation",,82%,Sunny and light winds,12
09:00,13°,"10%
chance of precipitation",,71%,Sunny and light winds,12
10:00,15°,"23%
chance of precipitation",,61%,Sunny and light winds,12
11:00,17°,"10%
chance of precipitation",,54%,Sunny and light winds,12
12:00,17°,"23%
chance of precipitation",,54%,Sunny and light winds,12
13:00,17°,"23%
chance of precipitation",,55%,Sunny and light winds,12
14:00,17°,"23%
chance of precipitation",,55%,Sunny and a gentle breeze,12
15:00,17°,"19%
chance of precipitation",,57%,Sunny and a gentle breeze,12
16:00,17°,"19%
chance of precipitation",,59%,Sunny and light winds,12
17:00,17°,"19%
chance of precipitation",,62%,A clear sky and light winds,12
18:00,16°,"19%
chance of precipitation",,66%,A clear sky and light winds,12
19:00,15°,"19%
chance of precipitation",,69%,A clear sky and light winds,12
20:00,15°,"6%
chance of precipitation",,73%,A clear sky and light winds,12
21:00,14°,"0%
chance of precipitation",,75%,A clear sky and light winds,12
22:00,13°,"0%
chance of precipitation",,77%,A clear sky and light winds,12
23:00,13°,"0%
chance of precipitation",,78%,A clear sky and light winds,12
00:00,12°,"0%
chance of precipitation",,79%,A clear sky and light winds,12
01:00,12°,"0%
chance of precipitation",,80%,A clear sky and light winds,12
02:00,12°,"0%
chance of precipitation",,80%,A clear sky and light winds,12
03:00,11°,"0%
chance of precipitation",,83%,A clear sky and light winds,12
04:00,11°,"0%
chance of precipitation",,82%,A clear sky and light winds,12
05:00,11°,"0%
chance of precipitation",,83%,A clear sky and light winds,12
06:00,11°,"0%
chance of precipitation",,81%,A clear sky and light winds,13
07:00,11°,"0%
chance of precipitation",,79%,Sunny and light winds,13
08:00,12°,"0%
chance of precipitation",,74%,Sunny and light winds,13
09:00,13°,"0%
chance of precipitation",,64%,Sunny and light winds,13
10:00,15°,"0%
chance of precipitation",,55%,Sunny and light winds,13
11:00,17°,"0%
chance of precipitation",,50%,Sunny and light winds,13
12:00,17°,"0%
chance of precipitation",,49%,Sunny and light winds,13
13:00,17°,"0%
chance of precipitation",,50%,Sunny and light winds,13
14:00,17°,"0%
chance of precipitation",,51%,Sunny and a gentle breeze,13
15:00,17°,"14%
chance of precipitation",,54%,Sunny and light winds,13
16:00,17°,"14%
chance of precipitation",,56%,Sunny and light winds,13
17:00,16°,"14%
chance of precipitation",,60%,A clear sky and light winds,13
18:00,16°,"0%
chance of precipitation",,63%,A clear sky and light winds,13
19:00,15°,"0%
chance of precipitation",,66%,A clear sky and light winds,13
20:00,15°,"0%
chance of precipitation",,68%,A clear sky and light winds,13
21:00,14°,"14%
chance of precipitation",,70%,A clear sky and light winds,13
22:00,13°,"13%
chance of precipitation",,71%,A clear sky and light winds,13
23:00,13°,"12%
chance of precipitation",,72%,A clear sky and light winds,13
00:00,12°,"15%
chance of precipitation",,73%,A clear sky and light winds,13
01:00,12°,"16%
chance of precipitation",,74%,A clear sky and light winds,13
02:00,12°,"18%
chance of precipitation",,73%,Partly cloudy and light winds,13
03:00,11°,"0%
chance of precipitation",,76%,Partly cloudy and light winds,13
04:00,11°,"0%
chance of precipitation",,78%,Partly cloudy and light winds,13
05:00,10°,"0%
chance of precipitation",,81%,Partly cloudy and light winds,13
